city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
mar del plata,-37.9977225,-57.5482703,Mist,64.02,99,1019,15.01,100
san marcos,29.8826436,-97.9405828,Clear,51.78,76,1015,7.56,0
khonuu,66.455612,143.223007,Clouds,-37.17,96,1036,0.43,41
saint george,12.0535331,-61.751805,Rain,76.08,88,1012,23.02,75
yellowknife,62.4540807,-114.377385,Clouds,3.38,78,1022,18.41,75
barentsburg,78.065362,14.2172367,Snow,29.8,94,1017,8.66,85
stornoway,58.20842,-6.3881077,Clouds,45.64,89,1000,4.61,75
khatanga,71.9819205,102.4714765,Clouds,-25.82,100,1030,3.8,100
ribas do rio pardo,-20.4477984,-53.7609001,Clouds,68.99,66,1007,3.65,26
kavieng,-2.573474,150.795224,Clouds,84.7,65,1006,8.77,99
lerwick,60.1531357,-1.1427296,Clouds,50.02,88,1006,18.75,64
port lincoln,-34.7211905,135.8592218,Clouds,63.43,58,1015,16.02,69
broome,-17.9566909,122.2240181,Clouds,89.49,62,1005,11.5,98
riyadh,24.638916,46.7160104,Clear,64.78,27,1018,3.49,3
bubaque,11.29969595,-15.833543367212418,Clouds,80.26,53,1008,7.34,100
mehamn,71.0389923,27.8517589,Clear,28.35,86,1022,8.05,0
cabo san lucas,22.8938884,-109.9200604,Clear,71.04,66,1009,1.99,0
bonavista,48.6541763,-53.110338,Clouds,37.85,96,999,14.27,99
roebourne,-20.7723709,117.145828,Clouds,92.61,36,1003,15.7,51
yzeure,46.5676568,3.3539775,Clouds,45.86,94,1013,5.03,100
port elizabeth,-33.9617051,25.6207519,Clouds,68.11,77,1017,11.5,20
san juan de colon,8.038054,-72.2536278,Clouds,69.24,99,1013,1.34,100
tevaitoa,-16.78176695,-151.47083353757228,Clouds,77.14,74,1014,12.66,19
ossora,59.247414,163.069931,Snow,31.55,97,1006,25.61,100
pevek,69.7028171,170.2746851,Clouds,-0.99,82,1030,2.84,100
cockburn town,21.4607723,-71.1399956,Clouds,80.6,71,1015,14.52,30
shasta lake,40.6799638,-122.3626507,Clear,42.51,69,1005,4.61,0
fairbanks,64.837845,-147.716675,Snow,4.51,84,1037,0.0,100
cabedelo,-6.97324,-34.8351609,Clouds,77.68,80,1009,8.32,74
coihaique,-45.5711804,-72.0684863,Clear,52.05,82,1013,2.3,0
naze,5.4519997,7.0566745,Clouds,74.71,88,1008,3.13,74
eureka,40.7906871,-124.1673746,Clouds,48.25,92,1019,1.01,92
samusu,-13.9974088,-171.4288872,Clouds,81.81,73,1011,17.54,26
omboue,-1.5726966,9.2653029,Clouds,76.28,88,1009,3.87,93
teguldet,57.306404,88.167168,Clouds,-4.36,90,1054,8.9,100
mumford,42.9924433,-77.8602521,Clouds,39.78,95,998,10.74,100
maniitsoq,65.4175454,-52.8967885,Clouds,31.01,78,999,16.67,100
deer lake,40.6250914,-76.0604916,Clouds,46.35,98,999,11.59,74
ardakan,30.2623521,51.9836519,Clear,50.07,30,1019,2.1,0
pangai,-19.8054603,-174.3489373,Clouds,82.45,69,1013,9.22,75
beloha,-25.173662,45.0610399,Clouds,84.83,47,1010,6.62,47
baculin,7.4493503,126.5832951,Clouds,85.23,71,1009,8.9,64
kandrian,-6.2074238,149.5476443,Clouds,85.89,67,1005,6.15,99
lang son,21.8528759,106.7597458,Clouds,81.66,76,1007,10.83,96
fare,45.90802,13.5165379,Clouds,35.08,92,1020,5.75,94
castro,45.802987,10.06706,Clouds,44.64,49,1020,1.01,100
krasnoarmeysk,56.1210895,38.1457655,Clouds,23.0,93,1039,7.74,100
inirida,3.8650368,-67.9259848,Rain,72.36,99,1009,1.86,100
caconda,-13.7388452,15.0619677,Rain,61.7,92,1011,4.07,100
gasa,31.5128679,34.4581358,Clear,62.98,56,1011,5.73,4
trinidad,10.443024300000001,-61.26130538878063,Rain,75.43,90,1011,12.66,75
rio grande,-53.7856766,-67.7016369,Clouds,48.09,70,1008,12.55,100
port blair,11.6645348,92.7390448,Clouds,85.42,70,1009,5.75,20
amderma,69.7522076,61.662267280204404,Clouds,18.84,92,1031,23.0,100
yinchuan,38.4852037,106.2261926,Clouds,30.96,16,1030,4.79,11
aguimes,27.9049541,-15.4445131,Clouds,66.34,78,1015,18.41,75
azanka,58.0372064,64.7903141,Clear,0.52,79,1049,7.18,2
fernie,49.5041747,-115.062867,Clouds,23.11,96,1011,2.33,100
phu ly,20.5447207,105.915517,Clouds,89.33,57,1006,10.16,14
havre,48.5536972,-109.677802,Clouds,26.94,80,1002,17.27,100
antsohihy,-14.8775272,47.98715,Clouds,85.6,47,1011,4.21,40
pandamatenga,-18.5506633,25.6316886,Clouds,69.39,76,1011,3.2,98
duku,-2.9657641,104.7721069,Clouds,87.85,62,1008,4.61,75
baijiantan,45.634206,85.260773,Clear,8.13,43,1052,6.13,0
sobolevo,55.5204405,38.7062515,Clouds,23.95,94,1039,6.87,99
altenholz,54.3956762,10.1187695,Rain,42.57,81,1013,10.36,100
kaohsiung,22.6203348,120.3120375,Clouds,85.59,67,1011,8.05,20
